Index,price_per_ping,price_per_ping_sd,price_per_ping_log
20016,117052,-0.22682486405823515,11.67038210266323
20017,150109,-0.12292954515078827,11.919123637654222
20018,133133,-0.17628365876584162,11.799111418794471
20019,212050,0.07174571117755874,12.264582090760516
20020,157131,-0.10086000074663508,11.964841495417309
20021,120586,-0.2157178048266377,11.700126763103468
20022,393238,0.6412040722569817,12.882172848501328
20023,305061,0.3640713156456152,12.62827031361976
20024,75640,-0.3569792321677185,11.233753743203248
20025,225720,0.11470935002756928,12.32705500234085
20026,73186,-0.3646919439261622,11.200773088549017
20027,165895,-0.07331549958485802,12.019116364977677
20028,164474,-0.07778158084351676,12.010513861954198
20029,244130,0.1725704027875323,12.405460245449921
20030,165990,-0.07301692272379356,12.019688849001422
20031,127768,-0.19314539413016543,11.757979224991384
20032,174486,-0.04631472260165095,12.069605519282128
20033,141234,-0.1508229098028617,11.858180448679366
20034,322297,0.418242586985687,12.683231862385579
20035,226277,0.11645995330770505,12.329519610810996
20036,269663,0.2528184342986749,12.50493201857208
20037,220380,0.09792618752142032,12.303113145648316
20038,164052,-0.07910789068950831,12.00794482532963
20039,162719,-0.08329739548739155,11.999786211282387
20040,207670,0.05797974642532419,12.243710375657448
20041,228250,0.12266092327486458,12.338201179608625
20042,184718,-0.014156423207846413,12.126591030414763
20043,186974,-0.007066008486147525,12.138730197059868
20044,708330,1.6315112333782344,13.470666777549472
20045,60500,-0.4045629550784105,11.010415172807951
20046,161476,-0.08720403799584533,11.992117996642207
20047,208428,0.06036207548518579,12.247353734650375
20048,264460,0.23646585105532414,12.485449071393841
20049,183058,-0.019373660990656766,12.11756378423402
20050,38201,-0.4746468016560539,10.550643149245081
20051,108925,-0.2523673287937169,11.598424031572375
20052,163813,-0.07985904721365991,12.006486916834216
20053,182618,-0.02075654329453421,12.115157294303843
20054,251110,0.19450794478995173,12.433650351434276
20055,15969,-0.5445200729737887,9.678467241209058
20056,35870,-0.48197293495227733,10.48768444858769
20057,171832,-0.05465601722549352,12.054278353904952
20058,189065,-0.0004941746284026781,12.14985143943264
